,T,H,Time
0,27.0,38.0,2578
1,27.0,38.0,2579
2,27.0,38.0,2580
3,27.0,38.0,2581
4,27.0,38.0,2582
5,27.0,38.0,2583
6,27.0,38.0,2584
7,27.0,38.0,2585
8,27.0,38.0,2586
9,27.0,38.0,2587
10,27.0,38.0,2588
11,27.0,38.0,2589
12,27.0,38.0,2590
13,27.0,38.0,2591
14,27.0,37.0,2592
15,27.0,37.0,2593
16,27.0,37.0,2594
17,27.0,37.0,2595
18,27.0,37.0,2596
19,27.0,37.0,2597
20,27.0,37.0,2598
21,27.0,37.0,2599
22,27.0,37.0,2600
23,27.0,37.0,2601
24,27.0,37.0,2602
25,27.0,37.0,2603
26,27.0,37.0,2604
27,27.0,37.0,2605
28,27.0,37.0,2606
29,27.0,37.0,2607
30,27.0,37.0,2609
31,27.0,37.0,2610
32,27.0,37.0,2611
33,27.0,37.0,2612
34,27.0,37.0,2613
35,27.0,37.0,2614
36,27.0,37.0,2615
37,27.0,37.0,2616
38,27.0,37.0,2617
39,27.0,37.0,2618
40,27.0,37.0,2619
41,27.0,37.0,2620
42,27.0,37.0,2621
43,27.0,37.0,2622
44,27.0,37.0,2623
45,27.0,37.0,2624
46,27.0,37.0,2625
47,27.0,37.0,2626
48,27.0,37.0,2627
49,27.0,37.0,2628
50,27.0,37.0,2629
51,27.0,37.0,2630
52,27.0,37.0,2631
53,27.0,37.0,2632
54,27.0,37.0,2633
55,27.0,37.0,2634
56,27.0,37.0,2635
57,27.0,37.0,2636
58,27.0,38.0,2637
59,27.0,38.0,2638
60,27.0,38.0,2639
61,27.0,38.0,2640
62,27.0,38.0,2641
63,27.0,38.0,2643
64,27.0,38.0,2644
65,27.0,38.0,2645
66,27.0,38.0,2646
67,27.0,38.0,2647
68,27.0,37.0,2648
69,27.0,37.0,2649
70,27.0,37.0,2650
71,27.0,37.0,2651
72,27.0,37.0,2652
73,27.0,37.0,2653
74,27.0,37.0,2654
75,27.0,37.0,2655
76,27.0,37.0,2656
77,27.0,37.0,2657
78,27.0,37.0,2658
79,27.0,37.0,2659
80,27.0,37.0,2660
81,27.0,37.0,2661
82,27.0,37.0,2662
83,27.0,37.0,2663
84,27.0,37.0,2664
85,27.0,37.0,2665
