,T,H,Time
0,22.0,54.0,2
1,22.0,54.0,3
2,22.0,54.0,4
3,22.0,54.0,5
4,22.0,54.0,6
5,22.0,54.0,7
6,22.0,54.0,8
7,22.0,54.0,9
8,22.0,54.0,10
9,22.0,54.0,11
10,22.0,54.0,12
11,22.0,54.0,13
12,22.0,54.0,14
13,22.0,54.0,15
14,22.0,54.0,16
15,22.0,54.0,17
16,22.0,54.0,18
17,22.0,54.0,19
18,22.0,54.0,20
19,22.0,54.0,21
20,22.0,54.0,22
21,22.0,54.0,23
22,22.0,54.0,24
23,22.0,54.0,25
24,22.0,54.0,26
25,22.0,54.0,27
26,22.0,54.0,28
27,22.0,54.0,29
28,22.0,54.0,30
29,22.0,54.0,32
30,22.0,54.0,33
31,22.0,54.0,34
32,22.0,54.0,35
33,22.0,54.0,36
34,22.0,54.0,37
35,22.0,54.0,38
36,22.0,54.0,39
37,22.0,54.0,40
38,22.0,54.0,41
39,22.0,54.0,42
40,22.0,54.0,43
41,22.0,54.0,44
42,22.0,54.0,45
43,22.0,54.0,46
44,22.0,54.0,47
45,22.0,54.0,48
46,22.0,54.0,49
47,22.0,54.0,50
48,22.0,54.0,51
49,22.0,54.0,52
50,22.0,54.0,53
51,22.0,54.0,54
52,22.0,54.0,55
53,22.0,54.0,56
54,22.0,54.0,57
55,22.0,54.0,58
56,22.0,54.0,59
57,22.0,54.0,60
58,22.0,54.0,61
59,22.0,54.0,62
60,22.0,54.0,63
61,22.0,54.0,65
62,22.0,54.0,66
63,22.0,54.0,67
64,22.0,54.0,68
65,22.0,54.0,69
66,22.0,54.0,70
67,22.0,54.0,71
68,22.0,54.0,72
69,22.0,54.0,73
70,22.0,54.0,74
71,22.0,54.0,75
72,22.0,54.0,76
73,22.0,54.0,77
74,22.0,54.0,78
75,22.0,54.0,79
76,22.0,54.0,80
77,22.0,54.0,81
78,22.0,54.0,82
79,22.0,54.0,83
80,22.0,54.0,84
81,22.0,54.0,85
82,22.0,54.0,86
83,22.0,54.0,87
84,22.0,54.0,88
85,22.0,54.0,89
86,22.0,54.0,90
87,22.0,54.0,91
88,22.0,54.0,92
89,22.0,54.0,93
90,22.0,54.0,94
91,22.0,54.0,95
92,22.0,54.0,96
93,22.0,54.0,97
94,22.0,54.0,98
95,22.0,54.0,100
96,22.0,54.0,101
97,22.0,54.0,102
98,22.0,54.0,103
99,22.0,54.0,104
100,22.0,54.0,105
101,22.0,54.0,106
102,22.0,54.0,107
103,22.0,54.0,108
104,22.0,54.0,109
105,22.0,54.0,110
106,22.0,54.0,111
107,22.0,54.0,112
108,22.0,54.0,113
109,22.0,54.0,114
110,22.0,54.0,115
111,22.0,54.0,116
112,22.0,54.0,117
113,22.0,54.0,118
114,22.0,54.0,119
115,22.0,54.0,120
116,22.0,54.0,121
117,22.0,54.0,122
118,22.0,54.0,123
119,22.0,54.0,124
120,22.0,54.0,125
121,22.0,54.0,126
122,22.0,54.0,127
123,22.0,54.0,128
124,22.0,54.0,129
125,22.0,54.0,130
126,22.0,54.0,131
127,22.0,54.0,133
128,22.0,54.0,134
129,22.0,54.0,135
130,22.0,54.0,136
131,22.0,54.0,137
132,22.0,54.0,138
133,22.0,54.0,139
134,22.0,54.0,140
135,22.0,54.0,141
136,22.0,54.0,142
137,22.0,54.0,143
138,22.0,54.0,144
139,22.0,54.0,145
140,22.0,54.0,146
141,22.0,54.0,147
142,22.0,54.0,148
143,22.0,54.0,149
144,22.0,54.0,150
145,22.0,54.0,151
146,22.0,54.0,152
147,22.0,54.0,153
148,22.0,54.0,154
149,22.0,54.0,155
150,22.0,54.0,156
151,22.0,54.0,157
152,22.0,54.0,158
153,22.0,54.0,159
154,22.0,54.0,160
155,22.0,54.0,161
156,22.0,54.0,162
