,T,H,Time
0,27.0,36.0,2
1,27.0,36.0,3
2,27.0,36.0,4
3,27.0,36.0,5
4,27.0,36.0,6
5,27.0,36.0,7
6,27.0,36.0,8
7,27.0,36.0,9
8,27.0,36.0,10
9,27.0,36.0,11
10,27.0,36.0,12
11,27.0,36.0,13
12,27.0,36.0,14
13,27.0,36.0,15
14,27.0,36.0,16
15,27.0,36.0,17
16,27.0,36.0,18
17,27.0,36.0,19
18,27.0,36.0,20
19,27.0,36.0,21
20,27.0,37.0,22
21,27.0,37.0,23
22,27.0,37.0,24
23,27.0,37.0,25
24,27.0,37.0,26
25,27.0,37.0,27
26,27.0,37.0,28
27,27.0,37.0,29
28,27.0,38.0,30
29,27.0,38.0,32
30,27.0,51.0,33
31,27.0,51.0,34
32,27.0,62.0,35
33,27.0,62.0,36
34,27.0,70.0,37
35,27.0,70.0,38
36,27.0,75.0,39
37,27.0,75.0,40
38,27.0,79.0,41
39,27.0,79.0,42
40,27.0,82.0,43
41,27.0,82.0,44
42,27.0,85.0,45
43,27.0,85.0,46
44,27.0,87.0,47
45,27.0,87.0,48
46,27.0,87.0,49
47,27.0,87.0,50
48,27.0,86.0,51
49,27.0,86.0,52
50,27.0,86.0,53
51,27.0,86.0,54
52,27.0,87.0,55
53,27.0,87.0,56
54,27.0,81.0,57
55,27.0,81.0,58
56,27.0,70.0,59
57,27.0,70.0,60
58,27.0,61.0,61
59,27.0,61.0,62
60,27.0,55.0,63
61,27.0,55.0,65
62,27.0,50.0,66
63,27.0,50.0,67
64,27.0,47.0,68
65,27.0,47.0,69
66,27.0,44.0,70
67,27.0,44.0,71
68,27.0,42.0,72
69,27.0,42.0,73
70,27.0,41.0,74
71,27.0,41.0,75
72,27.0,40.0,76
73,27.0,40.0,77
74,27.0,39.0,78
75,27.0,39.0,79
76,27.0,38.0,80
77,27.0,38.0,81
78,27.0,38.0,82
79,27.0,38.0,83
80,27.0,37.0,84
81,27.0,37.0,85
82,27.0,37.0,86
83,27.0,37.0,87
84,27.0,37.0,88
85,27.0,37.0,89
86,27.0,37.0,90
87,27.0,37.0,91
88,27.0,37.0,92
89,27.0,37.0,93
90,27.0,37.0,94
91,27.0,37.0,95
92,27.0,37.0,96
93,27.0,37.0,97
94,27.0,36.0,99
95,27.0,36.0,100
96,27.0,37.0,101
97,27.0,37.0,102
98,27.0,37.0,103
99,27.0,37.0,104
100,27.0,37.0,105
101,27.0,37.0,106
102,27.0,37.0,107
103,27.0,37.0,108
104,27.0,37.0,109
105,27.0,37.0,110
106,27.0,37.0,111
107,27.0,37.0,112
108,27.0,37.0,113
109,27.0,37.0,114
110,27.0,37.0,115
111,27.0,37.0,116
112,27.0,75.0,117
113,27.0,75.0,118
114,27.0,68.0,119
115,27.0,68.0,120
116,27.0,61.0,121
117,27.0,61.0,122
118,27.0,55.0,123
119,27.0,55.0,124
120,27.0,51.0,125
121,27.0,51.0,126
122,27.0,47.0,127
123,27.0,47.0,128
124,27.0,45.0,129
125,27.0,45.0,130
126,27.0,43.0,131
127,27.0,43.0,133
128,27.0,42.0,134
129,27.0,42.0,135
130,27.0,41.0,136
131,27.0,41.0,137
132,27.0,40.0,138
133,27.0,40.0,139
134,26.0,40.0,140
135,26.0,40.0,141
136,27.0,58.0,142
137,27.0,58.0,143
138,27.0,70.0,144
139,27.0,70.0,145
140,27.0,61.0,146
141,27.0,61.0,147
142,27.0,57.0,148
143,27.0,57.0,149
144,27.0,53.0,150
145,27.0,53.0,151
146,27.0,49.0,152
147,27.0,49.0,153
148,26.0,47.0,154
149,26.0,47.0,155
150,26.0,45.0,156
151,26.0,45.0,157
152,26.0,44.0,158
