,T,H,Time
0,27.0,50.0,311
1,27.0,50.0,312
2,27.0,47.0,313
3,27.0,47.0,314
4,27.0,45.0,315
5,27.0,45.0,316
6,27.0,43.0,317
7,27.0,43.0,318
8,27.0,42.0,319
9,27.0,42.0,320
10,27.0,41.0,321
11,27.0,41.0,322
12,27.0,40.0,323
13,27.0,40.0,324
14,27.0,40.0,325
15,27.0,40.0,326
16,27.0,39.0,327
17,27.0,39.0,328
18,27.0,39.0,329
19,27.0,39.0,330
20,27.0,38.0,331
21,27.0,38.0,332
22,26.0,38.0,333
23,26.0,38.0,334
24,26.0,38.0,336
25,26.0,38.0,337
26,26.0,38.0,338
27,26.0,38.0,339
28,26.0,38.0,340
29,26.0,38.0,341
30,26.0,38.0,342
31,26.0,38.0,343
32,26.0,38.0,344
33,26.0,38.0,345
34,26.0,38.0,346
35,26.0,38.0,347
36,26.0,38.0,348
37,26.0,38.0,349
38,26.0,38.0,350
39,26.0,38.0,351
40,26.0,38.0,352
41,26.0,38.0,353
42,26.0,38.0,354
43,26.0,38.0,355
44,26.0,38.0,356
45,26.0,38.0,357
46,26.0,38.0,358
47,26.0,38.0,359
48,26.0,38.0,360
49,26.0,38.0,361
50,26.0,38.0,362
51,26.0,38.0,363
52,26.0,38.0,364
53,26.0,38.0,365
54,26.0,38.0,366
55,26.0,38.0,367
56,26.0,38.0,368
57,26.0,38.0,370
58,26.0,38.0,371
59,26.0,38.0,372
60,26.0,38.0,373
61,26.0,38.0,374
62,26.0,38.0,375
63,26.0,38.0,376
64,26.0,38.0,377
65,26.0,38.0,378
66,26.0,39.0,379
67,26.0,39.0,380
68,26.0,40.0,381
69,26.0,40.0,382
70,26.0,41.0,383
71,26.0,41.0,384
72,26.0,40.0,385
73,26.0,40.0,386
74,26.0,40.0,387
75,26.0,40.0,388
76,26.0,40.0,389
77,26.0,40.0,390
78,26.0,40.0,391
79,26.0,40.0,392
80,26.0,42.0,393
81,26.0,42.0,394
82,26.0,44.0,395
83,26.0,44.0,396
84,26.0,44.0,397
85,26.0,44.0,398
86,26.0,44.0,399
87,26.0,44.0,400
88,26.0,43.0,401
89,26.0,43.0,402
90,26.0,42.0,404
91,26.0,42.0,405
92,26.0,41.0,406
93,26.0,41.0,407
94,26.0,41.0,408
95,26.0,41.0,409
96,26.0,40.0,410
97,26.0,40.0,411
98,26.0,40.0,412
99,26.0,40.0,413
