,T,H,Time
0,26.0,41.0,1547
1,26.0,41.0,1548
2,26.0,41.0,1549
3,26.0,41.0,1550
4,26.0,41.0,1551
5,26.0,41.0,1552
6,26.0,40.0,1553
7,26.0,40.0,1554
8,26.0,40.0,1555
9,26.0,40.0,1556
10,26.0,40.0,1558
11,26.0,40.0,1559
12,26.0,40.0,1560
13,26.0,40.0,1561
14,26.0,40.0,1562
15,26.0,40.0,1563
16,26.0,40.0,1564
17,26.0,40.0,1565
18,26.0,40.0,1566
19,26.0,40.0,1567
20,26.0,40.0,1568
21,26.0,40.0,1569
22,26.0,40.0,1570
23,26.0,40.0,1571
24,26.0,40.0,1572
25,26.0,40.0,1573
26,26.0,40.0,1574
27,26.0,40.0,1575
28,26.0,40.0,1576
29,26.0,40.0,1577
30,26.0,40.0,1578
31,26.0,40.0,1579
32,26.0,40.0,1580
33,26.0,40.0,1581
34,26.0,40.0,1582
35,26.0,40.0,1583
36,26.0,40.0,1584
37,26.0,40.0,1585
38,26.0,42.0,1586
39,26.0,42.0,1587
40,26.0,42.0,1588
41,26.0,42.0,1589
42,26.0,42.0,1590
43,26.0,42.0,1592
44,26.0,42.0,1593
45,26.0,42.0,1594
46,26.0,42.0,1595
47,26.0,42.0,1596
48,26.0,41.0,1597
49,26.0,41.0,1598
50,26.0,41.0,1599
51,26.0,41.0,1600
52,26.0,41.0,1601
53,26.0,41.0,1602
54,26.0,41.0,1603
55,26.0,41.0,1604
56,26.0,41.0,1605
57,26.0,41.0,1606
58,26.0,41.0,1607
59,26.0,41.0,1608
60,26.0,41.0,1609
61,26.0,41.0,1610
62,26.0,40.0,1611
63,26.0,40.0,1612
64,26.0,40.0,1613
65,26.0,40.0,1614
66,26.0,40.0,1615
67,26.0,40.0,1616
68,26.0,40.0,1617
69,26.0,40.0,1618
70,26.0,40.0,1619
71,26.0,40.0,1620
72,26.0,40.0,1621
73,26.0,40.0,1622
74,26.0,40.0,1623
75,26.0,40.0,1624
76,26.0,40.0,1626
77,26.0,40.0,1627
78,26.0,40.0,1628
79,26.0,40.0,1629
80,26.0,40.0,1630
81,26.0,40.0,1631
82,26.0,40.0,1632
83,26.0,40.0,1633
84,26.0,40.0,1634
85,26.0,40.0,1635
86,26.0,40.0,1636
87,26.0,40.0,1637
88,25.0,39.0,1638
89,25.0,39.0,1639
90,25.0,40.0,1640
91,25.0,40.0,1641
92,25.0,40.0,1642
93,25.0,40.0,1643
94,25.0,40.0,1644
95,25.0,40.0,1645
96,25.0,40.0,1646
97,25.0,40.0,1647
98,25.0,40.0,1648
99,25.0,40.0,1649
100,25.0,40.0,1650
101,25.0,40.0,1651
102,26.0,40.0,1652
103,26.0,40.0,1653
104,25.0,40.0,1654
105,25.0,40.0,1655
106,25.0,40.0,1656
107,25.0,40.0,1657
108,25.0,40.0,1658
109,25.0,40.0,1660
110,25.0,40.0,1661
111,25.0,40.0,1662
112,25.0,40.0,1663
113,25.0,40.0,1664
114,25.0,40.0,1665
115,25.0,40.0,1666
116,25.0,40.0,1667
117,25.0,40.0,1668
118,25.0,40.0,1669
119,25.0,40.0,1670
120,25.0,40.0,1671
121,25.0,40.0,1672
122,25.0,40.0,1673
123,25.0,40.0,1674
124,25.0,40.0,1675
125,25.0,40.0,1676
126,25.0,40.0,1677
127,25.0,40.0,1678
128,25.0,40.0,1679
129,25.0,40.0,1680
130,25.0,40.0,1681
131,25.0,40.0,1682
